DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Sep-2023,EQ,"3,378.00","3,432.85","3,370.05","3,379.20","3,418.50","3,418.50","3,405.13","3,575.00","2,926.10",1828332,"6,22,57,11,646.35",114654
01-Sep-2023,EQ,"3,366.00","3,389.00","3,356.80","3,356.80","3,374.00","3,379.20","3,379.92","3,575.00","2,926.10",1277950,"4,31,93,72,822.65",148744
31-Aug-2023,EQ,"3,401.00","3,417.40","3,343.65","3,390.95","3,361.00","3,356.80","3,369.12","3,575.00","2,926.10",3417652,"11,51,44,68,309.55",125169
30-Aug-2023,EQ,"3,398.00","3,408.10","3,383.05","3,376.15","3,391.00","3,390.95","3,397.70","3,575.00","2,926.10",1188200,"4,03,71,49,090.80",83244
29-Aug-2023,EQ,"3,381.05","3,389.55","3,365.00","3,375.55","3,375.00","3,376.15","3,375.62","3,575.00","2,926.10",944517,"3,18,83,33,020.15",68937
28-Aug-2023,EQ,"3,394.00","3,394.00","3,360.10","3,381.30","3,373.00","3,375.55","3,374.18","3,575.00","2,926.10",1037485,"3,50,06,63,941.25",80009
25-Aug-2023,EQ,"3,375.00","3,385.80","3,350.25","3,387.75","3,374.00","3,381.30","3,371.84","3,575.00","2,926.10",1158046,"3,90,47,44,950.05",87415
24-Aug-2023,EQ,"3,408.00","3,413.05","3,378.10","3,398.25","3,391.00","3,387.75","3,392.89","3,575.00","2,926.10",1152881,"3,91,16,01,781.55",83377
23-Aug-2023,EQ,"3,388.00","3,402.00","3,376.00","3,382.15","3,389.20","3,398.25","3,392.66","3,575.00","2,926.10",1330046,"4,51,23,93,621.55",74093
22-Aug-2023,EQ,"3,400.00","3,411.00","3,365.05","3,401.65","3,383.10","3,382.15","3,379.46","3,575.00","2,926.10",1222012,"4,12,97,42,131.95",105529
21-Aug-2023,EQ,"3,375.00","3,409.75","3,372.00","3,367.10","3,400.05","3,401.65","3,396.90","3,575.00","2,926.10",1375579,"4,67,27,10,451.45",90178
